Cat Name,Personality Type,Primary Locations,Happy %,Moody %,Sleepy %,Hungry %,Affectionate %,No Thoughts %,Hangry %,Adventurous %,Friendly %,Normal %,Timid %,Protective %,Young at heart %,Social Style,Key Activity 1,Key Activity 2,Key Activity 3,Unique Trait,Fun Fact,Independence (1-10),Playfulness (1-10),Affection (1-10),Intelligence (1-10),Curiosity (1-10),Territoriality (1-10),Preferred Feeding Time,Reaction After Feeding,Food Preferences,Morning Activity,Afternoon Activity,Evening Activity,Night Activity
Dora,The Canteen King/Queen,"SPMS, CCEB lvl 4",40,30,0,0,0,30,0,0,0,0,0,0,0,Approaches and interacts,Stealing Boot's food,Climbing into laps,Sleeping/resting,Climbs into people's laps and never moves off,Known for being silly and cuddly according to students,4,9,10,7,8,3,Evening (6+ PM),Thankful,No specific preference,Climbing objects,Stealing food,Lap sitting,Sleeping in pantry
Mimi,The Adventure Seeker,"H2blk7, Longkangs",0,0,0,0,0,0,60,40,0,0,0,0,0,Follows when interested; ignores when not,Fighting other cats,Climbing objects,Going on adventures,Regularly goes MIA for adventures,Will fight cats that wander into his territory,9,6,5,8,10,9,Evening (6 PM),Thankful when hungry,Everything tastes good when hungry,Adventures,Fighting cats,Meowing for food,MIA
Kuro,The Library Scholar,"H13 bike racks, Under cars, Blk 62",0,20,50,0,30,0,0,0,0,0,0,0,0,Approaches and interacts calmly,Sleeping/resting,Playing with Tama,Zen-like stillness,Described as zennn by students,Often seen playing with his tama bro,7,4,6,7,5,6,Evening (6:30-7:30 PM),"Distracted, Not Hungry",Sheba / aatas chicken,Sleeping under cars,Resting,Eating,Sleeping at bike racks
Smokey,The Hall Patroller,"Under cars, Blk 52, Hall 11",0,30,0,40,30,0,0,0,0,0,0,0,0,Nice when hungry or raining; ignores after,Hunting,Sleeping/resting,Patrolling,Has favorite humans,Described as lowkey bipolar with selective friendships,8,3,7,8,6,7,Evening (7-7:30 PM),"Thankful, Distracted",Kibbles,Hunting,Sleeping under cars,Patrolling,Affectionate in rain
Bast,The Arts Critic,"Reading room, North Hill",0,70,0,0,30,0,0,0,0,0,0,0,0,Very social with people she recognizes; skittish otherwise,Avoiding Simba,Being social with favorites,Judging others,Strong opinions about other cats,Once hissed at her favorite person when she smelled Simba on them,8,6,8,9,7,7,Unknown,Unknown,Unknown,Avoiding Simba,Reading room visits,Social with favorites,Unknown
Simba,The Business Tycoon,"Drop off point, Culinaire @2am, Carpark, Basketball court @ 7am",0,30,50,0,0,0,0,0,0,20,0,0,0,Comes and rubs against person; then leaves,Hunting rats,Staring at birds,Strategic positioning,Called local pest control by security guards,Rat populations surged when he was fostered last year,9,5,4,10,8,9,Evening (5-6 PM),"Unfriendly, Greedy","Soupy, gravy, kibbles, treats",Basketball court @ 7am,Staring at birds,Strategic positioning,Culinaire @2am
Boots,The Engineering Expert,"SHHK, SS canteen, CCEB level 4",0,0,40,30,0,0,0,0,0,0,30,0,0,Sometimes approaches friendly; sometimes hides,Climbing objects,Disappearing for days,Reappearing randomly,Habitually disappears for days and then reappears randomly,Has a complex relationship with Dora,8,7,5,8,9,4,Varied (3:30-6:30 PM),"Distracted, Unfriendly",Sheba cans,Disappearing,Climbing objects,Appearing for food,Sleeping
Albus,The Garden Guardian,Near RR1,0,0,40,0,0,0,0,0,60,0,0,0,0,Climbs onto laps for snuggles,Lap naps,Fighting monkeys,Sleeping,A warrior that fights monkeys but loves lap naps,Meows at feeders for food even though he just ate 20 minutes ago,5,4,9,7,6,6,Unknown,Unknown,Unknown,Fighting monkeys,Sleeping near RR1,Lap naps,Sleeping
Flynn,The Sports Star,"Used to hide behind Bandit, Now adopted",0,0,0,0,30,0,0,0,0,0,70,0,0,Initially shy then very affectionate,"Grooming, now adopted","Eating, total lap cat","Sleeping/resting, stays by your side",Now adopted; she's a total lap cat,Stays by your side 24/7; watching you work,4,5,8,6,5,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bandit,The Dorm Philosopher,Special hideout requiring climbing stairs and railings,0,0,0,0,0,0,0,0,0,0,0,50,50,Approaches and interacts,Grooming,Eating,Protecting Flynn,Best friends with a shrew,Shares food with her shrew friend,6,7,7,8,8,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown 